dVmax,ADP90,ADP50,Vreps,tdV
3.28397,188,177,-76.2665,5.76
3.07834,129,120,-72.4547,5.7
3.34572,100,92,-72.1531,5.68
2.91452,131,122,-69.5804,5.65
3.1954,144,135,-72.6052,5.69
3.12035,132,122,-75.2905,5.75
3.37401,148,137,-78.6902,5.81
2.94763,113,104,-72.791,5.71
3.34896,177,167,-73.7365,5.71
3.26338,175,162,-82.2181,5.88
3.48771,192,177,-87.0049,5.96
3.1679,101,90,-83.2732,5.92
3.10758,159,149,-72.1178,5.69
3.34857,85,78,-72.8336,5.7
3.30157,128,119,-72.7825,5.69
3.29662,128,118,-82.009,5.88
3.16131,129,116,-85.3338,5.95
3.39306,117,108,-79.3887,5.83
3.17157,125,116,-73.4103,5.71
3.68053,112,101,-88.3024,6.0
3.39971,192,178,-83.8007,5.91
3.01649,147,137,-74.6973,5.74
3.22256,157,145,-80.9485,5.86
2.96904,137,126,-74.6711,5.75
2.97403,169,157,-75.5109,5.76
3.35759,114,106,-72.8889,5.7
3.48003,179,167,-81.9242,5.87
3.29409,155,144,-78.1692,5.8
3.14004,167,157,-72.6226,5.7
2.98566,173,159,-81.2777,5.88
2.94845,112,103,-69.9491,5.65
3.29029,120,108,-84.2758,5.93
3.17431,85,77,-75.5662,5.76
3.05903,134,125,-72.5295,5.7
2.99961,101,89,-84.4796,5.95
3.06714,142,130,-80.6516,5.86
3.44602,194,181,-82.5785,5.88
3.14809,150,141,-71.3152,5.67
3.03263,110,101,-74.0318,5.73
3.02499,155,143,-79.0421,5.83
3.43232,191,179,-79.8161,5.83
2.94507,90,80,-78.1984,5.83
3.11238,160,148,-80.0371,5.85
3.3795,197,183,-82.9767,5.89
3.57227,212,196,-86.9478,5.95
3.3025,161,151,-71.7341,5.67
3.1114,166,155,-77.9366,5.8
3.07887,109,100,-75.4283,5.76
3.06425,111,99,-85.2177,5.96
3.11293,98,89,-73.9212,5.73
3.12807,187,174,-79.8439,5.84
3.5393,182,169,-83.839,5.9
3.25572,177,166,-74.2347,5.72
3.22957,135,124,-79.3856,5.83
3.32254,152,142,-75.2075,5.74
3.12386,162,151,-72.4623,5.69
3.31713,182,172,-72.7783,5.69
3.12843,178,165,-81.3448,5.87
3.28771,122,112,-77.4516,5.79
3.39568,164,153,-79.365,5.82
2.95556,171,159,-76.445,5.78
2.9843,74,66,-76.6513,5.8
2.89582,133,122,-78.2471,5.82
3.13767,86,78,-71.8188,5.69
3.23068,146,136,-77.9862,5.8
3.17021,140,131,-70.634,5.66
2.94646,167,154,-80.6391,5.87
3.07305,155,145,-72.5056,5.7
2.88459,146,136,-70.5972,5.67
3.31871,182,171,-74.6633,5.73
3.12808,92,80,-86.7919,5.99
3.6172,148,136,-87.0012,5.96
3.32669,172,161,-75.9435,5.75
2.93406,153,144,-69.0664,5.63
3.36338,198,185,-81.4403,5.86
3.36702,139,129,-76.6235,5.77
3.19057,95,85,-81.2752,5.88
2.96667,105,95,-77.3524,5.81
3.39068,171,161,-74.1374,5.72
2.94217,178,164,-80.7581,5.87
3.56673,150,137,-87.6228,5.98
3.08238,83,75,-77.3054,5.8
3.25455,139,129,-74.6644,5.73
3.09567,158,146,-78.9487,5.83
3.65811,195,181,-87.1462,5.96
3.29962,188,175,-82.8103,5.89
2.95799,120,109,-76.9487,5.8
2.83271,77,69,-73.8431,5.74
3.15628,180,165,-85.4187,5.95
3.01219,168,155,-79.4799,5.84
3.16032,176,163,-80.9111,5.86
3.00561,100,91,-74.4589,5.75
3.29328,171,161,-73.4547,5.71
2.85031,124,115,-69.8279,5.66
3.49311,164,151,-84.6971,5.92
2.8665,128,116,-80.4339,5.87
3.04608,136,122,-85.1526,5.95
3.3358,136,124,-85.1597,5.94
3.23411,92,83,-79.9324,5.85
2.84747,111,101,-77.4772,5.81
3.36696,124,115,-73.6842,5.71
3.49204,174,161,-83.9826,5.91
3.06686,134,123,-77.7035,5.8
3.22759,161,152,-70.6669,5.65
3.079,178,166,-75.0211,5.75
3.23765,188,175,-78.6816,5.81
3.05263,111,102,-73.1144,5.71
3.14387,174,163,-72.5855,5.69
3.38182,106,97,-79.1858,5.83
3.2465,150,139,-75.8508,5.76
3.53238,194,180,-84.0193,5.9
3.49911,146,134,-84.3291,5.92
3.40809,156,144,-83.5072,5.9
3.42902,131,120,-81.7122,5.87
3.31599,180,167,-82.269,5.88
2.87116,113,103,-76.0287,5.78
3.53848,176,163,-85.1937,5.93
2.84121,148,136,-77.6244,5.81
2.90978,134,123,-79.4487,5.85
3.1009,151,141,-71.4715,5.68
3.23975,184,170,-81.9725,5.88
2.93628,147,136,-74.0159,5.74
3.14348,170,159,-77.0232,5.78
3.22517,112,104,-72.9738,5.7
3.1409,137,127,-72.0994,5.69
3.10918,127,118,-71.11,5.67
3.04208,130,117,-84.9874,5.95
2.96602,90,80,-79.7372,5.86
2.91914,139,130,-69.9745,5.65
3.24745,185,172,-79.2527,5.82
3.21071,91,82,-77.4926,5.8
3.21584,193,179,-81.5364,5.87
3.12793,185,172,-79.2826,5.83
2.87062,162,150,-76.9552,5.8
3.24449,163,153,-70.7241,5.65
3.2729,83,75,-72.514,5.7
3.09926,159,150,-70.0234,5.65
3.38589,181,167,-85.7768,5.94
3.24774,178,167,-74.8459,5.74
3.59051,156,143,-86.0731,5.95
3.16951,183,169,-81.4454,5.87
3.22329,176,165,-75.9757,5.76
3.20058,102,94,-72.9536,5.71
3.10957,162,152,-73.3747,5.71
3.38203,178,167,-76.1893,5.76
3.32925,155,143,-82.9797,5.9
3.30568,147,136,-77.4227,5.79
3.00887,142,130,-82.2028,5.9
3.0391,93,85,-71.6578,5.69
3.52819,118,107,-86.4154,5.96
3.30651,134,124,-76.4614,5.77
3.1758,169,156,-83.2976,5.91
3.2577,137,126,-82.6212,5.89
2.9395,154,142,-79.5858,5.85
3.32395,173,160,-82.004,5.87
2.99439,148,138,-72.7391,5.71
3.28981,180,167,-83.5665,5.91
3.24051,170,160,-73.8789,5.72
3.31035,142,131,-80.1135,5.84
