dVmax,ADP90,ADP50,Vreps,tdV
3.22633,217,198,-87.5973,5.98
3.4062,218,196,-87.7561,5.97
3.55872,253,232,-87.5509,5.96
3.19973,250,228,-87.545,5.98
3.17342,213,191,-87.6518,5.98
3.41419,265,242,-87.6849,5.97
3.64938,243,224,-87.5457,5.96
3.53616,218,203,-87.4625,5.96
3.17281,224,206,-87.42,5.98
3.59665,240,223,-87.4567,5.96
3.59295,228,208,-87.6332,5.96
3.47743,218,197,-87.7509,5.96
3.24621,217,199,-87.4307,5.98
3.38811,205,188,-87.4859,5.97
3.12624,242,221,-87.481,5.98
3.06091,207,190,-87.4074,5.99
3.39888,202,185,-87.4405,5.97
3.11663,235,218,-87.414,5.98
3.25964,230,209,-87.6148,5.97
3.21831,229,209,-87.4622,5.98
3.43087,232,213,-87.5361,5.97
3.38681,223,202,-87.6905,5.97
3.11805,256,235,-87.5389,5.98
3.1808,252,229,-87.7074,5.97
3.34969,225,207,-87.462,5.97
3.3411,229,209,-87.7323,5.97
3.45874,212,193,-87.5609,5.97
3.12706,217,196,-87.6126,5.98
3.2478,250,228,-87.6712,5.97
3.28783,230,209,-87.6054,5.97
3.43449,220,201,-87.5818,5.97
3.29117,213,192,-87.7206,5.97
3.56713,246,222,-87.7712,5.96
3.34033,216,198,-87.4455,5.97
3.58414,227,204,-87.7152,5.96
3.65836,206,185,-87.6361,5.95
3.28088,237,217,-87.6719,5.97
3.65943,245,223,-87.6308,5.96
3.58258,249,228,-87.5574,5.96
3.50042,243,221,-87.6663,5.96
3.49744,231,211,-87.5659,5.96
3.06868,235,212,-87.681,5.98
3.50217,213,193,-87.4893,5.96
3.12125,239,222,-87.4851,5.98
3.14678,227,209,-87.498,5.98
3.29058,216,197,-87.5638,5.97
3.55052,221,201,-87.7328,5.96
3.04736,219,203,-87.446,5.99
3.55532,241,224,-87.4571,5.96
3.25981,223,203,-87.5575,5.97
3.3038,212,193,-87.5673,5.97
3.5704,228,207,-87.7601,5.96
3.05093,232,211,-87.5089,5.98
3.45282,241,219,-87.6063,5.96
3.47029,247,227,-87.6152,5.96
3.61645,224,204,-87.5107,5.96
3.66801,221,203,-87.5585,5.96
3.25913,202,184,-87.6178,5.98
3.30747,217,195,-87.7687,5.97
3.33815,249,227,-87.5888,5.97
3.08671,229,208,-87.7638,5.98
3.26796,205,188,-87.4026,5.97
3.09212,243,223,-87.5983,5.98
3.41497,246,227,-87.4525,5.97
3.12258,217,199,-87.4616,5.98
3.50911,226,205,-87.6351,5.96
3.43344,251,233,-87.3838,5.97
3.58468,262,241,-87.5619,5.96
3.06488,240,223,-87.4223,5.99
3.56568,244,226,-87.446,5.96
3.3071,230,212,-87.5341,5.97
3.48208,229,209,-87.5031,5.96
3.41139,212,190,-87.7984,5.97
3.48856,246,224,-87.6805,5.96
3.4303,228,210,-87.4401,5.97
3.41823,237,218,-87.4666,5.97
3.14493,220,200,-87.7346,5.98
3.12129,236,215,-87.6552,5.98
3.24376,220,200,-87.678,5.97
3.17228,210,191,-87.517,5.98
3.25869,236,216,-87.6194,5.97
3.49983,248,229,-87.4883,5.96
3.10934,226,209,-87.4208,5.98
3.51406,251,230,-87.6308,5.96
3.60185,228,209,-87.4514,5.96
3.61636,226,208,-87.5946,5.96
3.43479,209,190,-87.5174,5.97
3.65725,236,218,-87.5365,5.96
3.37901,227,209,-87.5089,5.97
3.57118,239,216,-87.613,5.96
3.15861,252,232,-87.5423,5.98
3.47477,219,202,-87.5571,5.97
3.16856,240,221,-87.5685,5.98
3.28337,223,200,-87.8333,5.97
3.63062,245,224,-87.6447,5.96
3.30892,226,207,-87.6083,5.97
3.48785,230,211,-87.416,5.96
3.41871,214,194,-87.5318,5.96
3.17521,231,213,-87.5511,5.98
3.33079,220,203,-87.408,5.97
3.47331,245,226,-87.498,5.96
3.08334,220,200,-87.6285,5.98
3.60173,248,228,-87.5869,5.96
3.29973,249,227,-87.6538,5.97
3.24928,225,208,-87.4089,5.98
3.27851,226,204,-87.6172,5.97
3.63145,246,223,-87.7513,5.96
3.53692,227,210,-87.366,5.96
3.66195,225,202,-87.6472,5.95
3.56061,227,210,-87.4184,5.96
3.46184,229,208,-87.7002,5.96
3.05709,242,220,-87.5363,5.98
3.17647,225,206,-87.6492,5.98
3.34919,225,205,-87.6132,5.97
3.22035,226,207,-87.5422,5.98
3.52374,225,205,-87.5141,5.96
3.30948,218,198,-87.6043,5.97
3.47779,216,194,-87.8267,5.96
3.10332,209,191,-87.4186,5.98
3.36585,239,216,-87.687,5.97
3.54139,213,192,-87.7394,5.96
3.46182,216,198,-87.4058,5.97
3.22388,224,205,-87.493,5.98
3.57237,216,193,-87.7786,5.96
3.23102,238,218,-87.6238,5.98
3.19171,211,194,-87.445,5.98
3.3046,218,199,-87.5426,5.97
3.26162,235,215,-87.6296,5.97
3.35481,217,198,-87.6141,5.97
3.29904,241,218,-87.6038,5.97
3.24085,240,220,-87.5331,5.98
3.55625,242,223,-87.4742,5.96
3.40842,250,231,-87.3685,5.97
3.3311,237,213,-87.7373,5.97
3.60963,244,225,-87.5868,5.96
3.22181,247,226,-87.5988,5.97
3.18662,248,226,-87.6189,5.98
3.08517,241,219,-87.6854,5.98
3.40814,221,201,-87.5533,5.97
3.36451,237,215,-87.5743,5.97
3.10532,225,206,-87.534,5.98
3.51135,215,198,-87.3995,5.96
3.52102,228,208,-87.5186,5.96
3.41887,206,187,-87.5031,5.97
3.23546,220,198,-87.6239,5.97
3.62015,218,198,-87.566,5.96
3.42487,252,231,-87.5723,5.96
3.37738,255,232,-87.745,5.97
3.55995,213,192,-87.7912,5.96
3.19336,212,195,-87.4529,5.98
3.10731,232,209,-87.6918,5.98
3.56904,216,196,-87.5059,5.96
3.54681,236,217,-87.5391,5.96
3.51442,206,188,-87.5355,5.96
3.32128,205,185,-87.6925,5.97
3.54669,250,226,-87.7551,5.96
3.11137,218,200,-87.4686,5.98
3.17866,241,216,-87.7152,5.97
3.58779,234,215,-87.503,5.96
3.6398,243,220,-87.7612,5.95
3.14274,250,229,-87.6621,5.98
3.34305,233,212,-87.6637,5.97
3.41854,231,208,-87.7657,5.97
3.56106,234,210,-87.738,5.96
3.65749,229,210,-87.7035,5.96
3.54756,218,200,-87.5432,5.96
3.3215,256,237,-87.4546,5.97
3.08699,232,212,-87.5921,5.98
3.18601,209,191,-87.4271,5.98
3.566,212,195,-87.4829,5.96
3.56242,229,209,-87.579,5.96
3.04618,212,192,-87.5833,5.98
3.2356,234,215,-87.6047,5.98
3.15471,235,216,-87.586,5.98
3.39847,236,217,-87.4685,5.97
3.27677,208,191,-87.4648,5.98
3.05139,229,212,-87.425,5.99
3.48873,226,209,-87.4608,5.97
3.17475,220,203,-87.4524,5.98
3.47036,229,212,-87.3958,5.97
3.39279,237,213,-87.7249,5.97
3.43701,232,211,-87.6291,5.97
3.48545,215,194,-87.6534,5.96
3.41465,225,205,-87.5599,5.96
3.30983,249,231,-87.5034,5.97
3.64788,216,195,-87.7566,5.96
3.54234,241,224,-87.4544,5.96
3.27131,217,196,-87.6191,5.97
3.3147,209,188,-87.7181,5.97
3.1361,219,201,-87.4777,5.98
3.32893,232,214,-87.4461,5.97
3.25389,228,207,-87.5826,5.98
3.63161,238,222,-87.4344,5.96
3.29235,222,203,-87.4488,5.97
3.20533,210,190,-87.5808,5.98
3.63363,270,249,-87.6257,5.96
3.14797,231,214,-87.42,5.98
3.14627,223,207,-87.4498,5.98
3.52189,222,198,-87.6838,5.96
3.64012,233,215,-87.4735,5.96
3.59716,222,201,-87.6171,5.96
3.08717,253,232,-87.5989,5.98
