dVmax,ADP90,ADP50,Vreps,tdV
3.21164,118,109,-71.6102,5.68
3.24092,97,89,-71.6358,5.68
2.92601,124,112,-79.6813,5.85
2.91833,119,108,-77.994,5.82
3.45058,125,113,-87.2645,5.98
3.37074,157,148,-71.9442,5.67
3.2891,86,78,-73.5881,5.72
3.00682,80,71,-77.5004,5.81
2.99729,135,125,-74.7006,5.75
3.22016,126,117,-75.1527,5.75
2.97791,131,120,-78.9371,5.83
3.0229,147,134,-84.2278,5.93
3.30838,190,178,-78.1953,5.8
3.45708,141,130,-80.8776,5.85
3.22211,148,136,-81.0554,5.86
3.02089,114,102,-85.8018,5.97
3.36386,182,171,-73.3471,5.7
3.37084,148,137,-80.9395,5.85
3.68136,114,103,-88.0025,5.99
3.2619,122,114,-72.1341,5.68
3.26538,125,115,-77.4796,5.79
3.36206,173,163,-71.8639,5.67
2.98203,175,162,-80.4292,5.86
3.09095,151,140,-75.2131,5.75
3.12406,171,157,-82.8155,5.9
3.2161,175,164,-73.9776,5.72
3.1016,163,150,-80.9951,5.87
3.34336,165,152,-84.3144,5.92
3.32258,158,148,-75.8112,5.75
3.19431,118,108,-79.2741,5.83
3.18166,153,142,-79.8146,5.84
3.26713,155,144,-77.3206,5.79
3.51924,166,153,-84.1301,5.91
3.074,166,156,-69.9347,5.64
3.28373,165,155,-73.7551,5.71
3.27612,140,129,-81.1515,5.86
2.93303,112,101,-79.9383,5.86
3.485,180,168,-81.9302,5.87
2.90287,167,155,-77.9753,5.81
3.22577,139,130,-71.7875,5.68
3.33202,161,152,-71.4838,5.66
3.21577,106,97,-76.53,5.78
3.45134,177,164,-81.5706,5.86
2.96278,113,103,-76.9405,5.8
2.87217,158,147,-75.3738,5.76
3.35612,185,172,-81.4009,5.86
3.25129,143,132,-79.9586,5.84
3.41477,112,102,-83.6376,5.91
3.07483,128,117,-78.8666,5.83
2.98278,109,97,-85.0436,5.96
3.35075,118,109,-76.956,5.78
3.05317,151,137,-83.8204,5.92
3.39476,136,125,-81.2082,5.86
3.05993,152,141,-77.6535,5.8
3.21765,161,149,-81.7938,5.88
2.97857,164,153,-72.6981,5.71
3.04807,145,133,-80.7873,5.87
3.36479,179,167,-80.3663,5.84
3.3233,145,133,-82.8822,5.9
3.09315,147,134,-84.8001,5.94
3.26904,147,136,-77.2774,5.79
3.29196,153,142,-75.9837,5.76
2.84271,121,111,-77.1087,5.8
3.33938,155,145,-75.8375,5.75
3.05417,175,162,-80.9578,5.87
3.17931,126,117,-73.7559,5.72
3.24253,136,126,-77.8289,5.8
2.88166,136,126,-74.1391,5.74
3.25419,181,169,-77.7967,5.79
3.09676,169,158,-77.0338,5.79
3.32279,139,128,-81.804,5.88
3.05362,180,165,-84.1642,5.93
2.86225,149,138,-75.8755,5.78
3.32657,128,118,-76.4867,5.77
3.26512,130,121,-72.6791,5.69
3.35648,98,90,-72.5075,5.69
3.36297,164,153,-79.6677,5.83
2.95874,147,135,-79.8358,5.85
3.24079,191,177,-82.9594,5.9
3.1803,186,173,-79.1725,5.82
3.1126,156,142,-85.2021,5.95
3.06642,166,153,-78.838,5.82
3.14122,163,152,-74.3326,5.73
3.18257,173,162,-76.1336,5.76
3.11699,166,154,-80.1197,5.85
3.36019,164,153,-78.3992,5.8
3.35733,162,152,-72.5868,5.69
3.2146,133,122,-77.7637,5.8
3.02715,133,120,-83.8422,5.93
